trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-146.27325246010156,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,19,-12.065137688412156,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.985}",30,4,-27.943598499779718,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.98}",35,3,-73.54038107001207,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-38.33078482634678,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,9,-3.5816646507221277,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-98.52813281065593,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-55.823880533221754,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,12,21.139267211712248,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.95}",30,2,-19.398611071114217,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-20.415137060336296,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-39.23072679232662,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,10,-26.019447678412135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-18.25992132516036,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-94.3071386036057,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,9,-32.02892716589524,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-63.580714322532074,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,7,-29.567466600551274,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-168.23202530819333,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-1.343923557864225,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,3,-100.07061630452365,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 3}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-122.94407532496854,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",35,0,-1.6876451389139495,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-34.074758436234646,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,2,-39.14992144196077,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-6.3546865181617544,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-36.946160662848726,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,6,19.541371737262676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,5.128377181165607,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-12.489635162815915,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-7.336772854121605,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-32.23044951141679,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,8,21.136525270599282,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,12,21.251553655137123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,1,-16.038644622547594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,15,20.640734068179903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,3,32.20520187453014,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",35,10,30.635209068431227,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,10,11.220809679345306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,3,29.204020704260426,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,18.09526762751237,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,8.616580095746732,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",30,0,-16.913258846247196,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,3,17.416294288022268,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,1,11.617587009615615,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,1.9890609183189192,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,17.173064205124636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,6,21.8784004139862,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,2,31.685983687926377,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-16.238761801204042,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",30,0,41.596554875105056,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-48.65496058008272,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",35,0,40.26283959331125,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,8,15.793837685162245,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-23.76579580985737,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-11.662919823591881,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,1,24.468806687188962,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,12,17.106532231237168,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,25.407786625795744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,20.382526361521293,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,0,35.21708588309161,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,0,32.947789747603046,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,3,33.35898834575532,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,4,-17.420138274668773,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,3.728073910163464,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-13.951273286649156,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",30,3,15.685178149754641,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-48.030858447993516,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-79.88081805614533,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,16.098944157649306,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,5,29.311753011427097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-16.334971708592835,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,16,24.07688361785403,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,0,40.6356159662686,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,13.463818839075497,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-23.105744790204007,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,7.016213143992419,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,36.794597655554156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,5,-40.1349515987821,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,29.39021520815442,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",30,7,34.94518621461745,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,12,11.748639051091784,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,16.925370083742305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,34.262522763446604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,7,16.358692960657773,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-3.7173166565578533,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,11,14.869995053725248,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,8,-26.570321583287885,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,15,31.458832001111162,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,13.235672533676741,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,22.752958053121876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",35,8,-2.719893828738851,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,0,29.313309014878072,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,8,18.021036107769557,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",35,0,21.09472412511579,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,0,-1.7752225873189011,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",30,14,5.301730648223798,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,3,26.226023466109506,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,18.608711284499563,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
